influencer_id,name,category,gender,follower_count,platform
1,Heather Reese,Fitness,Male,535769,Instagram
2,James Brown,Beauty,Other,318068,Twitter
3,Samantha Johnson,Tech,Other,852797,Instagram
4,Craig Murphy,Fashion,Female,22265,Facebook
5,Amanda Martinez,Gaming,Male,200398,YouTube
6,Megan Knight,Fitness,Other,969568,YouTube
7,William Ramirez,Beauty,Female,231823,YouTube
8,Miguel Clark,Tech,Male,32297,Instagram
9,Elaine Johnson,Fitness,Male,729579,Facebook
10,Robert Long,Nutrition,Female,451194,Twitter
11,Kimberly Wilson,Beauty,Male,343742,Instagram
12,Rachel Dawson,Gaming,Male,757760,Facebook
13,Maurice Campbell,Nutrition,Female,140732,Twitter
14,Brianna Hernandez,Fitness,Other,88952,Twitter
15,Rachael Sellers,Gaming,Female,202181,Facebook
16,Blake Davidson,Fashion,Male,803896,YouTube
17,Ronald Sanchez,Nutrition,Female,201338,Instagram
18,Kelly Pace,Tech,Other,914537,Instagram
19,Mason Pittman,Nutrition,Male,390339,Instagram
20,Kevin Cunningham,Fashion,Other,934161,Twitter
21,Erica Taylor,Beauty,Female,557799,Instagram
22,Travis Rodriguez,Gaming,Male,105201,Instagram
23,Belinda Berry,Fitness,Other,585723,YouTube
24,Benjamin Castaneda,Gaming,Other,568219,Twitter
25,Pamela Jones,Beauty,Male,778401,Twitter
26,Mrs. Wendy Swanson,Gaming,Female,25116,Twitter
27,Kelly Braun,Nutrition,Male,818906,Twitter
28,Daniel Wilkerson,Fitness,Other,648702,Twitter
29,Holly Mcpherson,Fitness,Female,966137,Facebook
30,Sarah Richards,Nutrition,Male,602040,Instagram
31,William Parks,Gaming,Other,851464,Twitter
32,Hector Figueroa,Gaming,Male,966557,Facebook
33,Dawn Ware,Gaming,Male,730709,Facebook
34,Darlene Lopez,Tech,Female,998919,Instagram
35,Eric Cannon,Gaming,Male,791757,Instagram
36,Charles Christian,Nutrition,Female,61645,Facebook
37,Jessica Davidson,Nutrition,Male,57946,Twitter
38,Wanda Woods,Beauty,Male,686823,YouTube
39,Charles Moore,Fitness,Other,677368,Facebook
40,Alexander Phillips DVM,Beauty,Female,463121,YouTube
41,Terry Nicholson,Fashion,Other,672116,Facebook
42,April Johnson,Gaming,Male,773260,YouTube
43,James Smith,Tech,Female,82874,Twitter
44,Lydia Page,Tech,Female,204414,Twitter
45,David Pierce,Fitness,Other,7295,Facebook
46,Michael Hawkins,Fitness,Female,927717,Twitter
47,Matthew Thomas,Tech,Female,803845,YouTube
48,Jeffrey Cowan,Tech,Male,634909,Facebook
49,Alexander West,Fitness,Other,284200,Twitter
50,Christine Hill,Tech,Other,529710,Facebook
